"","AAMID","B1_WC_NW","B2_SE","B3_SU_BU","B4_NE","B5_TO","Loc_Abbrev_LF.x","Longitude.x","Latitude.x","B1","B2","B3","B4","B5","B6","Loc_Abbrev_LF.y","Longitude.y","Latitude.y"
"44","AAM0926",0,1,0,0,0,"SE",121.66,-3.5,0.002,0.001,0.001,0.002,0.0015,0.9925,"SE",121.66,-3.5
"45","AAM0927",0,1,0,0,0,"SE",122.07,-3.48,0.002,0.0015,0.002,0.002,0.002,0.9905,"SE",122.07,-3.48
"46","AAM0930",0,0,0,0,1,"TO",121.77,-0.47,0.002,0.002,0.991,0.002,0.002,0.001,"TO",121.77,-0.47
"47","AAM0931",0,0,0,0,1,"TO",121.77,-0.48,0.002,0.002,0.99,0.002,0.002,0.002,"TO",121.77,-0.48
"48","AAM0932",0,0,0,0,1,"TO",121.77,-0.47,0.002,0.002,0.99,0.002,0.002,0.002,"TO",121.77,-0.47
"49","AAM0933",0,0,0,0,1,"TO",121.77,-0.47,0.0025,0.002,0.9895,0.002,0.002,0.002,"TO",121.77,-0.47
"50","AAM0934",0,0,0,0,1,"TO",121.76,-0.42,0.002,0.0019,0.9915,0.0016,0.002,0.001,"TO",121.76,-0.42
"51","AAM0935",1,0,0,0,0,"WC",120.05,0.13,0.003,0.002,0.002,0.9815,0.002,0.0095,"WC",120.05,0.13
"52","AAM0936",1,0,0,0,0,"WC",120.03,0.05,0.0052,0.004,0.002,0.9803,0.0046,0.0039,"WC",120.03,0.05
"53","AAM0937",1,0,0,0,0,"WC",119.93,0.21,0.024,0.0035,0.002,0.9655,0.003,0.002,"WC",119.93,0.21
"54","AAM0939",1,0,0,0,0,"WC",119.93,0.2,0.0144,0.0041,0.002,0.9719,0.003,0.0046,"WC",119.93,0.2
"55","AAM0940",1,0,0,0,0,"WC",119.66,0.017,0.0091,0.0037,0.002,0.9529,0.0153,0.017,"WC",119.66,0.017
"56","AAM0941",1,0,0,0,0,"WC",119.66,0.017,0.0337,0.0048,0.0025,0.9369,0.0102,0.0119,"WC",119.66,0.017
"57","AAM0942",1,0,0,0,0,"WC",119.93,0.2,0.0182,0.0035,0.002,0.9713,0.003,0.002,"WC",119.93,0.2
"58","AAM0943",1,0,0,0,0,"WC",119.93,0.21,0.0078,0.0099,0.0032,0.9726,0.0035,0.003,"WC",119.93,0.21
"59","AAM0944",1,0,0,0,0,"NW",121.25,1.23,0.0057,0.002,0.0031,0.9807,0.002,0.0065,"NW",121.25,1.23
"60","AAM0945",1,0,0,0,0,"NW",121.25,1.23,0.2668,0.004,0.0048,0.6174,0.0074,0.0996,"NW",121.25,1.23
"61","AAM0946",1,0,0,0,0,"NW",121.25,1.23,0.0749,0.0104,0.0131,0.8837,0.0139,0.004,"NW",121.25,1.23
"62","AAM0947",1,0,0,0,0,"NW",121.25,1.23,0.0084,0.002,0.0039,0.978,0.0022,0.0055,"NW",121.25,1.23
"63","AAM0948",1,0,0,0,0,"WC",120.48,0.78,0.836,0.004,0.0085,0.1401,0.005,0.0064,"WC",120.48,0.78
"64","AAM0949",1,0,0,0,0,"WC",120.49,0.78,0.0061,0.011,0.003,0.9439,0.0078,0.0282,"WC",120.49,0.78
"65","AAM0950",1,0,0,0,0,"WC",120.5,0.78,0.1086,0.0115,0.0436,0.7814,0.0216,0.0333,"WC",120.5,0.78
"66","AAM0951",1,0,0,0,0,"NW",121.73,1.07,0.0086,0.0122,0.005,0.9653,0.0039,0.005,"NW",121.73,1.07
"67","AAM0952",0.75,0.25,0,0,0,"WC",120.34,-1.23,0.003,0.003,0.002,0.0877,0.0032,0.9011,"WC",120.34,-1.23
"68","AAM0953",1,0,0,0,0,"WC",119.96,0.21,0.0036,0.002,0.0024,0.9838,0.0033,0.0049,"WC",119.96,0.21
"69","AAM0954",1,0,0,0,0,"WC",119.93,0.26,0.0086,0.002,0.003,0.8925,0.0036,0.0903,"WC",119.93,0.26
"70","AAM0956",1,0,0,0,0,"WC",120.51,0.78,0.9875,0.002,0.002,0.0042,0.002,0.0023,"WC",120.51,0.78
"71","AAM0957",1,0,0,0,0,"WC",120.52,0.78,0.98,0.002,0.002,0.0079,0.002,0.0061,"WC",120.52,0.78
"72","AAM0958",1,0,0,0,0,"WC",120.53,0.78,0.9885,0.002,0.002,0.0035,0.002,0.002,"WC",120.53,0.78
"73","AAM0959",1,0,0,0,0,"NW",121.73,1.07,0.0065,0.0094,0.002,0.9741,0.005,0.003,"NW",121.73,1.07
"74","AAM0960",0,0,0,0,1,"TO",121.77,-0.41,0.001,0.0016,0.9932,0.0012,0.002,0.001,"TO",121.77,-0.41
"75","AAM0961",0,0,0,0,1,"TO",121.81,-0.46,0.002,0.002,0.9908,0.002,0.002,0.0012,"TO",121.81,-0.46
"76","AAM0962",0,0,0,0,1,"TO",121.77,-0.5,0.0016,0.002,0.9924,0.001,0.002,0.001,"TO",121.77,-0.5
"77","AAM0963",0,0,0,0,1,"TO",121.77,-0.5,0.0017,0.002,0.9922,0.0011,0.002,0.001,"TO",121.77,-0.5
"78","AAM0964",1,0,0,0,0,"NW",121.73,1.07,0.0054,0.003,0.0035,0.968,0.003,0.0171,"NW",121.73,1.07
"79","AAM0965",1,0,0,0,0,"NW",121.73,1.07,0.0294,0.0048,0.0039,0.9445,0.0038,0.0136,"NW",121.73,1.07
"80","AAM0966",1,0,0,0,0,"NW",120.91,0.91,0.988,0.002,0.002,0.004,0.002,0.002,"NW",120.91,0.91
