"","AAMID","S1_NW","S2_PE","S3.x","S4_SE_BT","S5_WC_SW","S6_BU","S7_EC","Loc_Abbrev_LF.x","Longitude.x","Latitude.x","S1","S2","S3.y","S4","S5","Loc_Abbrev_LF.y","Longitude.y","Latitude.y"
"179","AAM3136",0,0,0,0.001,0.911,0,0.088,"WC",119.98,-1.825,0.0874,0.0101,0.0187,0.0054,0.8784,"WC",119.98,-1.825
"180","AAM3143",0,0,0,0.007,0.803,0,0.19,"WC",119.98,-1.825,0.0706,0.0128,0.0176,0.0021,0.8969,"WC",119.98,-1.825
"181","AAM3151",0.999,0,0,0,0.001,0,0,"WC",119.98,-1.825,0.0253,0.0083,0.5128,0.0051,0.4485,"WC",119.98,-1.825
"182","AAM3180",0,0,0,0.045,0.027,0,0.928,"NW",122.16,0.83,0.439,0.0741,0.184,0.002,0.3009,"NW",122.16,0.83
"183","AAM3181",0,0,0,0,0.001,0,0.999,"EC",122.5,-0.91,0.9435,0.0199,0.01,0.003,0.0236,"EC",122.5,-0.91
"184","AAM3185",0.006,0,0.053,0,0,0,0.941,"NE",124.3453,0.7358,0.0431,0.0096,0.0999,0.8217,0.0257,"NE",124.3453,0.7358
"185","AAM3186",0.04,0,0.031,0,0.713,0,0.215,"NE",124.39,0.71,0.0175,0.009,0.089,0.398,0.4865,"NE",124.39,0.71
"186","AAM3188",0.043,0,0.001,0.102,0.718,0,0.135,"WC",119.98,-1.825,0.0421,0.0142,0.0321,0.0061,0.9055,"WC",119.98,-1.825
"187","AAM3189",0.01,0,0,0,0.989,0,0.001,"WC",119.98,-1.825,0.0202,0.0051,0.0303,0.0018,0.9426,"WC",119.98,-1.825
"188","AAM3190",0,0,0,0,0.999,0,0,"WC",119.98,-1.825,0.0224,0.0093,0.0238,0.0073,0.9372,"WC",119.98,-1.825
"189","AAM3191",0.002,0,0,0,0.995,0,0.002,"WC",119.98,-1.825,0.0631,0.0112,0.0539,0.0033,0.8685,"WC",119.98,-1.825
"190","AAM3192",0.127,0,0.843,0.001,0.02,0,0.009,"NE",124.3453,0.7358,0.02,0.0376,0.5047,0.2407,0.197,"NE",124.3453,0.7358
"191","AAM3193",0,0,0.002,0.085,0.762,0,0.151,"NE",124.39,0.71,0.0677,0.0654,0.1069,0.2955,0.4645,"NE",124.39,0.71
"192","AAM3215",0,0,0.489,0,0,0.511,0,"BU",127.1,-3.3833,0.1522,0.0166,0.0216,0.7619,0.0478,"BU",127.1,-3.3833
"193","AAM3241",0,0,0,0.385,0.051,0,0.564,"SE",122.68,-4.29,NA,NA,NA,NA,NA,NA,NA,NA
"194","AAM3242",0.003,0,0,0.955,0.015,0,0.028,"SE",122.68,-4.29,NA,NA,NA,NA,NA,NA,NA,NA
"195","AAM3246",0,0,0.002,0.687,0.005,0,0.307,"SE",122.68,-4.29,NA,NA,NA,NA,NA,NA,NA,NA
"196","AAM3247",0,0.699,0.058,0.153,0.027,0,0.064,"BT",122.92,-5,0.0119,0.8274,0.006,0.1154,0.0393,"BT",122.92,-5
"197","AAM3248",0,0,0,0.992,0,0,0.008,"BT",122.92,-5,0.0056,0.969,0.0067,0.0061,0.0126,"BT",122.92,-5
"198","AAM3250",0,0,0.001,0.945,0,0,0.054,"SE",122.68,-4.29,NA,NA,NA,NA,NA,NA,NA,NA
"199","AAM3401",0.991,0,0,0,0.001,0,0.008,"NW",122.067,0.483,0.0028,0.003,0.9378,0.0277,0.0287,"NW",122.067,0.483
"200","AAM3402",0.001,0,0,0,0.965,0,0.033,"NW",122.067,0.483,0.0158,0.0035,0.364,0.0025,0.6142,"NW",122.067,0.483
"201","AAM3403",0,0,0,0,0,0,1,"NE",125.249,1.436,0.0375,0.0043,0.0469,0.7597,0.1516,"NE",125.249,1.436
"202","AAM3404",0.063,0,0,0.092,0.137,0,0.708,"NW",122.067,0.483,0.0494,0.0449,0.6384,0.0227,0.2446,"NW",122.067,0.483
"203","AAM3405",0.874,0,0,0.097,0.001,0,0.028,"NW",122.067,0.483,0.0059,0.0122,0.9369,0.0034,0.0416,"NW",122.067,0.483
"204","AAM3430",0,0,0.017,0,0,0,0.982,"NE",125.249,1.436,0.0285,0.0272,0.0924,0.7868,0.0652,"NE",125.249,1.436
"205","AAM3431",0,0,0,0,0.004,0,0.995,"NE",125.249,1.436,0.0298,0.0035,0.1075,0.6873,0.1719,"NE",125.249,1.436
"206","AAM3432",0,0,0.007,0,0,0,0.993,"NE",125.249,1.436,0.04,0.0048,0.0313,0.8961,0.0278,"NE",125.249,1.436
