AAM3188	0.0421	0.0142	0.0321	0.0061	0.9055
AAM2143	0.0235	0.0111	0.0254	0.0045	0.9355
AAM2106	0.9277	0.0157	0.0301	0.0075	0.0190
AAM3110	0.9103	0.0324	0.0389	0.0035	0.0149
AAM2011	0.0010	0.0057	0.7148	0.0010	0.2775
AAM2061	0.0070	0.9803	0.0033	0.0035	0.0059
AAM2162	0.0034	0.0111	0.0052	0.0108	0.9695
AAM3028	0.0033	0.0032	0.9483	0.0018	0.0434
AAM2144	0.0234	0.0087	0.0602	0.0055	0.9022
AAM2164	0.0398	0.0056	0.0199	0.0023	0.9324
AAM2131	0.8518	0.0140	0.0176	0.0038	0.1128
AAM2035	0.0079	0.9725	0.0126	0.0030	0.0040
AAM2211	0.6455	0.0638	0.0585	0.0042	0.2280
AAM2126	0.9437	0.0190	0.0165	0.0037	0.0171
AAM3403	0.0375	0.0043	0.0469	0.7597	0.1516
AAM3402	0.0158	0.0035	0.3640	0.0025	0.6142
AAM2026	0.0020	0.0048	0.9685	0.0010	0.0237
AAM3045	0.0394	0.4742	0.2168	0.2238	0.0459
AAM2092	0.0244	0.0069	0.0120	0.0011	0.9556
AAM2104	0.0018	0.0021	0.0018	0.9924	0.0019
AAM2123	0.0017	0.0021	0.0014	0.9930	0.0018
AAM2010	0.0031	0.0054	0.4260	0.0018	0.5637
AAM2028	0.0013	0.0018	0.9832	0.0010	0.0127
AAM3215	0.1522	0.0166	0.0216	0.7619	0.0478
AAM2111	0.0424	0.0052	0.0837	0.0057	0.8630
AAM2215	0.0614	0.7927	0.0118	0.0674	0.0666
AAM2187	0.0070	0.0079	0.9203	0.0017	0.0631
AAM2177	0.0108	0.9582	0.0085	0.0040	0.0185
AAM3151	0.0253	0.0083	0.5128	0.0051	0.4485
AAM3180	0.4390	0.0741	0.1840	0.0020	0.3009
AAM2128	0.8994	0.0386	0.0203	0.0040	0.0377
AAM3190	0.0224	0.0093	0.0238	0.0073	0.9372
AAM2189	0.0034	0.0040	0.9643	0.0010	0.0273
AAM2094	0.0042	0.0053	0.3155	0.0012	0.6738
AAM2185	0.9248	0.0138	0.0108	0.0052	0.0454
AAM3116	0.0596	0.0060	0.0377	0.0029	0.8938
AAM2096	0.2698	0.0043	0.0216	0.0023	0.7020
AAM3072	0.0221	0.0046	0.0180	0.0034	0.9519
AAM3247	0.0119	0.8274	0.0060	0.1154	0.0393
AAM2072	0.0617	0.6767	0.0153	0.0218	0.2245
AAM2093	0.0028	0.0030	0.1076	0.0018	0.8848
AAM2004	0.0018	0.0097	0.9539	0.0010	0.0336
AAM2078	0.0201	0.9615	0.0047	0.0031	0.0106
